video;onca;caseiro;fake news;ironia;notícia;Conservacionistas;comment_text
video0;neutro;neutro;não;não;neutra;;Eu sou daqui da região <br>E conheço o pessoal q estava na busca pelo Jorginho <br>E vou deixar vcs realmente informados..<br>No dia q a onça voltou , eles estavam esperando ela armados e na hora q ela pulou pra dentro ,foi bala nela  e já era ..<br>De manhã o pessoal do CRAS chegaram e conseguiram capturar uma das 3 onças q rodeava a casa porq o Jorginho dava comida pra elas ... Essa não é a mesma onça do ataque , <br>Espero q a verdade seja dita logo pela mídia
video0;neutro;neutro;não;não;neutra;;Minhas condolências a família do sr Jorge 😢😢😢😢
video0;neutro;neutro;não;não;neutra;;Que tragédia, sentimentos aos familiares 😢
video0;positivo;neutro;não;não;boa;;Parabéns pelo vídeo, esses animais são esplêndidos mas não podemos nos esquecer que são selvagens e nós é que estamos no habitat natural deles então devemos respeita-los e termos muito cuidado
video0;neutro;neutro;não;não;boa;;Que Deus conforte os corações dos familiares. <br>Parabens, excelente reportagem!
video0;neutro;neutro;não;não;neutra;;O bixo e lindo porém brabo demais cê tá doído 😮
video0;neutro;neutro;não;não;ruim;;O meu pai foi atacado por uma...ficou bastante ferido mais Deus livrou🙌🏽 estado do Tocantins
video0;negativo;neutro;não;não;ruim;;É, infelizmente esses animais ferozes, estão com seus instintos a flor da pele, devido ao desmatamento do próprio ambiente, seja por fogo ou retirada de árvores, e quem paga muitas das vezes é alguém inocente, que Deus tenha misericórdia dos corações enlutados dos familiares em nome de Jesus.
video0;negativo;negativo;não;sim;ruim;;Sabendo que tinha onça, eu nunca ficaria no lugar
video0;neutro;negativo;não;não;boa;;Toda pessoa que mora em zona rural tem que além das outras precauções, andar sempre armada para se proteger e proteger a família pois os perigos são inúmeros.
video0;negativo;neutro;não;não;neutra;;Eles estão tentando acalmar os moradores....mas tem mais onças
video0;neutro;negativo;não;sim;ruim;;Nunca pedimos nada né? 🤣🤣🤣🤣🤣
video0;positivo;neutro;não;não;boa;;É uma lástima... A onça é o único felino de grande porte (entre tigre, leão, leopardo e etc) que não nos vê como alimento.<br>Foram situações que se juntaram e que permitiram que este desastre acontecesse. Fica o alerta para todos nós, evite interagir e/ou alimentar animais selvagens.<br>Muito triste. Minhas condolências aos familiares e amigos do seu Jorge.
video0;neutro;negativo;não;sim;ruim;;A onça não come carne de péssima qualidade 😂
video0;neutro;neutro;não;não;boa;;Reportagem completa e educativa 😊
video0;neutro;neutro;não;sim;neutra;;É, as palavras tem poder, seja para o bem ou para o mal
video0;positivo;neutro;não;não;neutra;;Tadinha da onça
video0;neutro;negativo;não;não;neutra;;O Jorge confiou muito na onça
video0;negativo;negativo;não;não;neutra;;Informações muito bem postas. <br><br>Ficou-se a impressão de que as onças brigavam pra ver qual iria cacá-lo primeiro. <br>Com o perigo eminente não se brinca, pois são felinos grandes, ágeis, observadores e fortes.
video0;negativo;neutro;sim;não;neutra;;Até pq uma onça que comeu mais de meio corpo humano estaria de barriga cheia, não magro e desnutrido como foi encontrado esse macho velho ....
video0;neutro;neutro;não;não;neutra;;Parabéns pela reportagem Sentimento aos familiares
video0;positivo;positivo;não;não;neutra;;Tadinho de seu Jorginho 🙏 E fica claro que esses animais magníficos de nossa fauna estão passando fome, mas por quê? ...E que zoom maravilhoso da cara da onça.
video0;positivo;neutro;não;não;neutra;;Acredito que os incêndios do último verão podem ter desequilibrado o ambiente,a ponto de faltarem alimentos para alguns animais,como onças,por exemplo.
video0;neutro;positivo;não;não;neutra;;Tadinho do Jorge,descanse em paz 💔🖤🥀😭
video0;negativo;neutro;sim;sim;neutra;;Por isso que eu falo os animais estão tendo mais valor que os seres humanos
video0;neutro;negativo;sim;sim;neutra;;​@@MegaLemoslemos Chama o IBAMA, ele estava alimentando a onça em vez ter chamado o IBAMA
video0;neutro;neutro;não;sim;neutra;;😂😂😂😂😂
video0;neutro;negativo;não;não;neutra;;Tudo indica que o seu Jorge estava acostumado com as onças visitando o local. Talvez por isso ele não se sentia ameaçado e nem tinha medo. Ele mesmo disse que as onças o respeitavam e corriam quando o enxergavam. Com certeza o seu Jorge subestimou o perigo que corria.
video0;neutro;neutro;não;não;neutra;;Ele devia ter aconselhado o caseiro mas ele ficou bricando com coisa séria
video0;neutro;negativo;sim;sim;ruim;;Muita mancada dar comida pra onças no terreiro de casa.
video0;neutro;negativo;não;sim;neutra;;O cara brincou, brincou, brincou e acabou devorado. Deixa a 5a série na 5a série, a vida adulta exige seriedade. Se ele tivesse agido e tomado providências, não tinha acabado desse jeito. Força para a família que fica, que terá que lidar com uma perda dessa forma trágica.
video0;neutro;positivo;não;não;ruim;;Que pavor esse senhorzinho passou e que dor deve ter sentido 😢😢😢, que Deus conforte a família desse sr
video0;neutro;positivo;não;não;neutra;;Porque o proprietário não tomou providência para ligar para a polícia ambiental para capturar esse animal Jaque o senhorzinho morava sozinho sem defesa num pesqueiro desse grande esse trabalho era de alta periculosidade vamos respeitar a família para poder receber todos os seus direitos trabalhista que esta esculpido na CF do Brasil visto que ele faleceu no trabalho.
video0;neutro;neutro;não;não;boa;;A onça era alimentada com frequência pelos barqueiros da região, que levavam turistas ao local, cobrando por isso. Isso está claro, quando diz que o animal não se intimida com a presença de pessoas. Infelizmente o ribeirinho foi a vítima (já anunciada pelo amigo) de uma atividade considerada ILEGAL e inconsequente. Que a polícia investigue o caso e prendam os barqueiros responsáveis.
video0;neutro;neutro;não;sim;neutra;;Rapaz aqui ta cheio de especialistas em onça, que isso, so feras, parabéns galera.
video0;neutro;neutro;não;não;neutra;;Nessa propriedade não deveria haver ao menos uns três ou quatro cães, pelo menos, com funções de alerta?
video0;neutro;neutro;não;não;neutra;;Com 94kg,e “tá magra”. Imagina a força dessa criatura
video0;neutro;neutro;não;não;ruim;;Me formei em biologia em 2005 e ao longo desses anos tive alguns contatos com especialistas em grandes felinos e também com muitos moradores de zonas rurais, que sempre me relataram ser muito raro o ataque de onças aos humanos.. E até acredito que seja mesmo...<br>Mas a impressão é de que esses ataques estão aumentando a frequência ultimamente... Ou talvez temos mais acesso às informações e também é mais fácil divulgar o ocorrido, de tempos pra cá...
video0;neutro;negativo;não;não;boa;;Tá explicado. O básico de qualquer manual de acampamento é o cuidado com os restos de alimentos, no caso de limpar peixes na beira do rio se não puder levar o resto do peixe, o melhor a fazer é jogar na água.
video0;negativo;neutro;sim;não;ruim;;Você tem toda a razão animais estão sendo mais valorizados do que o ser humano
video0;neutro;neutro;sim;não;ruim;;Eles jamais vão falar a verdade.<br>Se inventaram a mentira, é pq não querem que a verdade apareça...😢
video0;neutro;neutro;não;não;neutra;;94 kg 😮😮😮😮 o bicho é grande pra caramba brother😮😮😮 coitado do moço,mas infelizmente foi uma fatalidade!!
video0;positivo;neutro;não;não;boa;;Sinto pelo falecimento do caseiro. Deus conforte a família.  Que bom que a resgataram deve estar debilitada. Preservar onças, a natureza é importante.  Bacana a reportagem.
video0;neutro;neutro;não;não;neutra;;Gente  como doi ver essa cena  deus conforte  a familia
video0;neutro;neutro;não;não;boa;;Parabéns pelas informações, essa é a melhor e bem mais esclarecedora reportagem.
video0;neutro;neutro;não;não;boa;;Viva ao YouTube... para que mais assitir TV.  A matéria ficou show, parabéns! 👏
video0;neutro;negativo;não;não;neutra;;Claro ...se você eu não ficaria lá..vazava p longe 😮 o medo é uma forma da gente se proteger..
video0;neutro;neutro;não;sim;neutra;;"<a href=""https://www.youtube.com/watch?v=CUf1T3dPFj4&amp;t=85"">1:25</a> o que o cara falou na zoeira, se tornou realidade &quot;A onça vai comer o Jorge&quot; as palavras tem poder!!"
video0;negativo;neutro;sim;não;neutra;;No Brasil, a vida de um animal vale mais que a do homem...
video0;neutro;positivo;não;não;neutra;;O que ele poderia fazer?Parece que ele era o caseiro né.
video0;neutro;neutro;não;não;boa;;Ótima reportagem! Parabéns pelo ótimo trabalho! Quem dera a mídia em geral fosse mais assim como vcs!
video0;neutro;neutro;não;não;boa;;Boa noite pra mim foi a melhor reportagem completa.
video0;negativo;neutro;sim;sim;neutra;;A onça é mais protegida do que o ser humano.Esse é o nosso país.
video0;negativo;neutro;sim;sim;neutra;;Num éh?!...
video0;neutro;neutro;não;não;neutra;;@@robertosilveira2566 mas é geralmente isso que acontece, ele acostuma com as coisas fáceis e ai quando não dá parte para cima. Nos EUA tem muito isso com o urso preto.
video0;neutro;positivo;não;não;neutra;;@@Eduardo-wz1fw não é verdade, o cunhado dele já desmentiu isso, ele não cevava as onças. Foi só inocência mesmo, ele achava que não seria atacado pq as onças andavam por lá há muito tempo e nunca tinha acontecido nada
video0;negativo;negativo;não;não;neutra;;Ouvi uma fala q pra mim foi exatamente oq aconteceu (a onça amansou ele )e axo q ele perdeu a noção do perigo q no mínimo sempre q fosse pro quintal uma boa faca pantaneira como companheira, e fica aqui nosso profundo sentimento ao familiares.
video0;neutro;negativo;não;não;neutra;;O cunhado tava brincando mais ai ja foi um alerta pra ele ficar esperto mais infelizmente seu Jorge nao acreditou  que ela pudesse atacalo porque nao é normal uma onça ficar perto de   seres humanos mais como eles  deixaram ela se aproximar deles além dos peixes que tinha ali por perto a onça viu seu Jorge uma presa facil poriço o atacou muito triste mais aconteceu essa fatalidade
video0;neutro;neutro;sim;não;neutra;;Duas não  eram três  onças  uma fêmea e  dois machos
video0;neutro;negativo;não;não;ruim;;Parabéns pela explicação meus sentimentos a família de seu Jorge. Minha opinião ele se descuido pós sabia que a onça estava na porta da casa dele deveria andar armado antes o ser humano vivo do que a onça. Mais agora esse trabalhador não volta mais. Resta agora os outros trabalhadores andar armado. Essa onça deveria ser solta dentro das salas dos peritos tem muitas gente sofrendo por enfermidade muitos sem poder andar vai lá eles nega um benefício que é direto da gente.
video0;neutro;neutro;não;sim;neutra;;Acostumaram a onça com comida fácil resolveu parar de caçar jacaré e outras presas pra que trabalhar afinal?parece até uma região do Brasil Acostumaram com bolsa família.
video0;neutro;neutro;não;não;neutra;;​@@luispaulocarvalhorachi6553e ali onde tinha as pegadas era onde ele limpava os peixes .acho que também isso atraíram eles
video0;neutro;negativo;não;não;neutra;;Uma lição com essa tragédia:<br>Nunca subestime o seu adversário!<br>O cunhado tinha alertado ele!<br>Mas ele levou a profecia na brincadeira!
video0;negativo;positivo;não;não;neutra;;Quanto  dinheiro gastado pra proteger uma fera dessa e o Jorge  k era um trabalhador pensou nele  se ele estivesse  matado  ela estava na cadeia  mas ela não  está  sendo protegida . E a família  dele alguém aí  pensou????
video0;negativo;negativo;sim;sim;ruim;;Quer dizer que a recomendação se encontrar a onça é chamar a polícia ou o corpo de bombeiros? Então a onça vai esperar eu fazer a ligação para esses órgãos responsável? Coitado do seu George ele escutou vocês.😮
video0;negativo;negativo;sim;sim;ruim;;Se o Jorge tivesse matado ela ,ia preso ,e multa milionária ,os valores se inverteram,triste
video0;neutro;neutro;não;não;neutra;;A culpa é do patrão, sabia dos riscos que o caseiro passava e não quis fazer nada
video0;negativo;negativo;sim;sim;neutra;;Que coisa mais linda, olha a chance que a onça deu ao seu Jorge de procurar polícia ambiental,devorou o homem agora vai ser tratada como rainha,se eu morasse nessa região certamente seria preso porque se viesse no meu pátio era recebida com chumbo
video0;neutro;neutro;não;não;neutra;;Jesus filho do Deus vivo e soberano, o Salvador do mundo!
video0;positivo;negativo;não;não;neutra;;Esse vídeo me explicou muita coisa, a onça não estava caçando o caseiro como dizem, ela estava atrás de peixe, esse felino estava faminto, provavelmente não tinha Muitos animais pra ela caçar, o caseiro estava no lugar errado na hora errada, onças não caçam humanos elas tem medo do homem, não duvido nada Q as pessoas daquele pesqueiro jogava peixe pras onças, essa onça sabia que ali é um pesqueiro, por isso sempre ia lá atrás de Peixes 😮
video0;positivo;neutro;não;não;neutra;;Lamentável né,deveria ter mais cuidado pois foram vistas no local 😣,apesar de ser um dos  animais mais lindo da natureza e muito feroz tb,o certo não seria invadir o habitat natural deles né!
video0;negativo;neutro;sim;não;neutra;;Aqui no Pará próximo a Altamira uma onça pegou uma criança,  fizeram muito esforço para encontrar o rapaz que matou essa onça ,e ainda é por que a criança era filho de uma prima do perfeito no município em que ocorreu o caso.o ser humano tem menos importância que esses animais.
video0;positivo;neutro;não;não;neutra;;SIM tem mais onças POIS é o hábitat delas, e ñ é todas  q pegou o sr Jorge foi só uma q já pegaram ela
video0;positivo;neutro;não;não;neutra;;Os animais possuem um certo nível de racionalidade e os humanos são mais instintivos do que as pessoas comuns acreditam de acordo com as neurociências, etologia e outras disciplinas que estudam o cérebro de pessoas e bichos.
video0;neutro;neutro;não;não;neutra;;Será que que foi a mesma onça que atacou ele que foi capturada?
video0;negativo;neutro;não;não;ruim;;"comeu carne humana vai  caçar carne humana sempre..<a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a>"
video0;negativo;neutro;sim;sim;ruim;;Cara eu conheço a Amazônia,  você fala que onça lá tá em extinção você não conhece nada. Kkkkkkk.  Lá você tropeça em onça. Kkkkkkk
video0;neutro;positivo;não;não;neutra;;Mesmo seres humanos podem comer outros em situações de fome e sobrevivência extrema como ocorreu com os passageiros do avião 571 que caiu na Cordilheira dos Andes entre outros casos.
video0;negativo;positivo;não;não;neutra;;Esses animais quando bem alimentados não atacam o homem, mas quando estão com fome e sem a caça que eles estão acostumados, eles acabam atacando qualquer coisa que se meche. O sr. Jorginho está nos braços do Pai Celestial, quanto ao animal ele só tem essa vida.
video0;negativo;negativo;não;não;neutra;;@@MegaLemoslemos mas ele viu que  ela tava rodando muito perto..poderia ter saído do rancho..eu em , essas onças são perigosas..
video0;negativo;neutro;não;sim;neutra;;Se ele tivesse matado a onça ele tinha Cido preso  como o causo da moça do Rio de Janeiro , mas foi o contrário a onça o matou ainda vai recebe um as excelente atemdimento
video0;negativo;positivo;não;não;neutra;;Eu sonhei que os animais da selva estavam famintos. E eu sentia até dó. Mas eles estavam proximos as cidades...Tadinho desse senhor. Ele confiou demais.
video0;negativo;neutro;sim;não;neutra;;Verdade estão valor ao animal doque pro ser humano
video0;neutro;negativo;não;sim;neutra;;Eles andavam era dando comida pra ela tá aí no que Deu.
video0;negativo;negativo;não;não;neutra;;😲 acho que ela tava com muita fome e achou uma presa fácil que não tinha como se defender, essas pessoas às vezes se expõem muito  sem ter noção de tão perigoso são esses animais selvagens 😢
video0;neutro;neutro;não;não;neutra;;Culpa da humanidade que é responsável pela destruição do habitat delas.. então bem menos!!
video0;neutro;neutro;não;não;neutra;;Pq o próprio homem está destruíndo as matas....
video0;neutro;neutro;sim;não;neutra;;O ser humano não sofre instinção, os animais sim.
video0;neutro;neutro;não;não;neutra;;Brabo e eficientes para caça!
video0;neutro;neutro;não;sim;neutra;;A palavra tem poder  cuidado  o que sai da boca
video0;neutro;neutro;não;não;neutra;;Os cães alertaria sim más seria a mesma coisa de colocar os cães a sacrifício a ceva do mesmo jeito que elas eram cevadas por peixes.
video0;neutro;positivo;não;não;neutra;;Meus sentimentos pra família de Sr. George 😢😢😢!
video0;neutro;neutro;não;não;neutra;;Culpa da humanidade que é responsável pela destruição do habitat delas.. então bem menos!!
video0;neutro;neutro;sim;não;neutra;;Triste quando vc dá mais valor ao animal do que a vida humana . Vamos preservar , sim , mais pelo amor de Deus..
video0;neutro;negativo;não;não;neutra;;Desde de não levar o perigo a sério e a falta de uma arma de fogo e uma espera eficaz tudo junto foi negligência, sentimentos á família.
video0;neutro;negativo;não;não;neutra;;O seu João duvidou ,brincou demais ,se foi por confiar em perigo
video0;neutro;negativo;não;não;neutra;;Um viralata não preocupou com o seu Jorge na verdade ninguém preocupava com o homem porque se tivessem mais preocupações teriam evitado esse ataque que já era evidente.
video0;neutro;neutro;não;não;boa;;Parabéns pelo vídeo! Excelente, muito informativo.👏🏿👏🏿👏🏿
video0;neutro;neutro;não;não;boa;;Excelente trabalho. <br>Parabéns
video0;positivo;neutro;não;não;neutra;;Animal muito lindo
video0;neutro;neutro;não;não;neutra;;Deus me livre, descanse em paz, que Deus receba de braços abertos 🙏🙌 vai com Deus
video0;neutro;neutro;não;não;boa;;Parabéns ,mostrou tudo detalhado
video0;positivo;neutro;não;não;neutra;;Animal muito lindo, porém não podemos esquecer que se trata de um animal selvagem......
video0;neutro;neutro;não;não;neutra;;Eu trabalhei numa usina sertã noite fraguei uma raposa rodando perto d vivência eu lumiava ela corria e voltava aí fiquei olhando aí dei tempo quando lumiei a raposa vi ela comendo algo fui olhar oke era tinha grão de arroz ovo era resto de comida pessoal do turno b tinha jogado<br>não de
video0;positivo;neutro;não;não;neutra;;A onça foi perdendo o medo, não levaram fé na inteligência do animal. Ela estava estudando a presa. Lamentável, o falecido era experiente, . Nossos sentimentos aqui do RJ/RJ, para ele, luz e paz, a família força e resignação..P.S que bom não sacrificaram o animal
video0;positivo;neutro;sim;não;neutra;;A onça é vítima 😢pq ali é o território dela e ela estava faminta e deu o aviso😮
video0;neutro;neutro;não;não;neutra;;Ele não ficou de 👀
video0;positivo;neutro;não;não;neutra;;Elas são vítimas da sociedade
video0;neutro;positivo;não;não;neutra;;E porque o caseiro não ficava nesse casarão mais seguro? Já que sabia que a onça estava lhe frequentando....e. outra a casa que ele ficava não tem segurança nenhuma....muita imprudência do dono da pousada
video0;positivo;neutro;não;não;neutra;;A onça era alimentada com frequência pelos barqueiros da região, que levavam turistas ao local, cobrando por isso. Isso está claro, quando diz que o animal não se intimida com a presença de pessoas. Infelizmente o ribeirinho foi a vítima (já anunciada pelo amigo) de uma atividade considerada ILEGAL e inconsequente. Que a polícia investigue o caso e prendam os barqueiros responsáveis.
video0;neutro;neutro;não;não;neutra;;É verdade!
video0;neutro;neutro;não;não;boa;;Excelente vídeo, parabéns!!
video0;neutro;neutro;não;sim;neutra;;E nós somos do espaço
video0;neutro;positivo;não;não;neutra;;pois e! zona rural é obrigatorio andar armado, uma fatalidade, uma simples arma teria poupado a vida dele
video0;positivo;neutro;não;não;neutra;;Deus abençoe toda família.<br><br>A onça está no habitat natural dela, infelizmente nos seres humanos temos que correr atrás do nosso sustento
video0;positivo;neutro;não;não;boa;;Lamentável. Minhas condolências à família. Parabéns pelo vídeo. Bem elaborado e sem sensacionalismo. Realmente onças não costumam ter o humano como mais uma alimentação, mas na hora da fome, se não encontra convencional, vai pessoas mesmo. Até racionais praticam canibalismo na hora da fome, imagine uma onça a opta por morrer de fome ou comer uma carne que não é seu prato preferido. Mas é a sua sobrevivência. Deus me livre, quero ver o pantanal só pela TV.
video0;positivo;neutro;não;não;neutra;;Estão Invadindo o Habitar da Onça Esses Covardes 😡😡😡😡😡😡😡😡😡😡😡😡
video0;neutro;neutro;não;sim;neutra;;Enquanto a onça comia esse coitado, o Lula comia nossa aposentadoria. Faz o L!
video0;neutro;neutro;não;sim;ruim;;Ver o que vc não mostrou nada só falou o mesmo q os outros estão falando aff
video0;neutro;neutro;não;sim;ruim;;E o ser humano é da onde
video0;neutro;neutro;não;não;neutra;;"O &quot;FATO&quot; só confirma uma coisa. Como o uso de arma de fogo pra defesa pessoal pode ser uma questão tão difícil no Brasil? Dentro da propriedade não era pra ser siquer questionado pela justiça.. arma fogo garanti a defesa que o ESTADO nunca pode oferecer."
video0;neutro;neutro;não;não;neutra;;O equilíbrio biológico é necessário para vida de todos,animais ferozes não podem se reproduzir sem controle
video0;positivo;neutro;não;não;neutra;;Não é que os animais sejam mais valorizados. Acontece que a onça-pintada está em risco de extinção e se ela desaparecer afetará todo o equilíbrio ecológico do pantanal e de outras florestas onde vivem.
video0;neutro;neutro;não;não;neutra;;Não pode ser subtimada jamais
video0;neutro;neutro;não;não;neutra;;Passando fome?  Duvido! Com o tanto de javalis, porcos do mato, catetos, java porcos, jacarés, capivaras, antas, peixes, etc, etc. Tem bicho a rodo para a onça caçar!
video0;neutro;neutro;não;não;boa;;Que reportagem excelente viu
video0;positivo;neutro;não;não;neutra;;E põe ágeis nisso! Uma ataque ele estando em uma passarela como essa teria que vê-la primeiro estar no minimo com uma boa faca nas mãos sangue nos olhos e mesmo assim perderia alguns dedos, carne em algumas partes e sairia muito ferido! Já na beira do rio sem ter essa pequena proteção da passarela mesmo com a faca seria sem chance devido a velocidade e o pulo que o jogaria longe.
video0;positivo;neutro;não;não;neutra;;Se fosse comigo essa onça já tava dormindo a muito tempo
video0;neutro;neutro;não;sim;neutra;;Fala que eu vou ficar rico?
video0;negativo;neutro;não;não;neutra;;Ela o matou no espaço da residência e não no mato então ele não estava invadindo seu espaço. Era para ser morta também  pois matou um ser humano.
video0;positivo;neutro;não;sim;neutra;;Imaginem só matar cada onça  que aparecesse nas redondezas elas seriam extintas nessa região
video0;neutro;neutro;não;sim;ruim;;Conta outra, Bolsonaro. 😂
video0;neutro;neutro;não;não;neutra;;É verdade! Concordo plenamente com você. Tem que estar preparado pra qualquer coisa e situação.
video0;neutro;positivo;não;não;neutra;;Três ainda, e ele já estava velhinho não precisava ficar trabalhando em um lugar isolado e sozinho
video0;neutro;neutro;sim;não;neutra;;O problema tbem, é q se outra onças, provaram da carne huma , e beberam o sangue do Sr George!! Provavelmente, eles agora vão querer, caçar, mas humanos pra comer!!
video0;neutro;neutro;não;não;neutra;;Ótimo trabalho da ambiental.
video0;negativo;neutro;não;não;neutra;;Deveria ter era uma espingarda calibre 12
video0;neutro;neutro;não;não;neutra;;Semana passada cachorros de rua comeram um pé e uma orelha de um bebê vivo, abandonado pela mãe no mato em Andrelandia / MG. <br><br>Todo predador pode predar um ser humano.<br><br>Bichos não são anjinhos nem bebês, como alguns querem crer e ensinar.
video0;neutro;neutro;não;não;boa;;Vídeo sem sensacionalismo, muito bom e explicativo
video0;positivo;neutro;não;não;neutra;;Espero que não façam mal nenhum ao animal,elas não têm culpa,por outro lado ele deveria ter sido mais prudente.Sinto por ele e pela família. Que o animal seja protegido!
video0;negativo;neutro;não;não;neutra;;A onça estudou os passos do Sr. Jorge...
video0;negativo;neutro;não;sim;ruim;;Vai vc e passa no meio dela ou delas e veja o que acontece. Essa que a onca onça não vê o ser humano como comida é um mito, é lendário.
video0;neutro;neutro;não;não;neutra;;Deus conforte família tadinho seu Jorge qui dó
video0;positivo;neutro;não;sim;neutra;;Oi? Você tá questionando o atendimento dado a um ser irracional que teve seu lugar invadido pelo ser humano? Áh, pelo amor de deus, cara, kkkkk
video0;negativo;neutro;não;não;neutra;;Ja teve... A onça comeu!
video0;neutro;neutro;não;sim;neutra;;Meu irmão, me desculpe retrucar sobre seu comentário.<br>Mais esse teu comentário não cabe nesse caso.<br>Esses comentários de quê  o desmatamento é o culpado pôr várias coisas quê acontece, isso é besteira.<br>Se você mora numa capital, creio eu quê aí onde você mora e hoje é uma grande cidade, cheias de indústrias e emprego.<br>Com certeza aí um dia já foi uma grande mata, e tá tudo certo.🤝🏽👍🏽
video0;negativo;negativo;não;não;neutra;;"@@terepavan2315 Essa falácia de &quot;destruímos a casa deles&quot; tem q pensar melhor, nós também fazemos parte do reino animal e como os demais buscamos por sobrevivência, o caseiro não estava ali por esporte, estava para seu próprio sustento. e a onça logicamente também busca sua sobrevivência. É logico que ela o atacaria ao ter uma oportunidade seja ali ou em qualquer lugar. Infelizmente ele parece nao ter tomado as medidas de segurança necessárias e aconteceu essa fatalidade."
video0;neutro;neutro;não;sim;boa;;Obrigado 😅 aprendi observando meu gato 🐈😅
video0;negativo;neutro;não;sim;neutra;;Ajuda aí né! Como pedir ajuda se a onça  mata. Tem que fazer barulho e fogo também  elas têm medo.
video0;negativo;neutro;sim;não;neutra;;Elas estão se produzindo muito
video0;neutro;neutro;não;não;neutra;;Normal dela e 120 até 130 por aí
video0;positivo;neutro;não;não;neutra;;lá não é o caso, pois é no pantanal e justamente pela preservação é que esses animais estavam lá, seu habitat natural.
video0;positivo;neutro;não;não;neutra;;Que animal belíssimo!!! Amo todos os felinos!!
video0;neutro;neutro;não;não;neutra;;Imagino a dor desse amigo 😢😢<br><br>Na hora nem dá pra agredita😢😢
video0;neutro;neutro;não;não;neutra;;Muito suspeito as câmeras pegou ela várias vezes e da pra ver os locais de ataque.<br>Porém as câmeras não pegaram o ataque.<br>Gostaria de saber porque as câmeras não pegaram o ataque.
video0;positivo;neutro;não;não;neutra;;"Seres humanos, do auge da sua &quot;coragem&quot; com rifles de caça, e do seu privilégio humano, exterminam animais a cada segundo que vc respira. Seja por caça, por esporte, por crueldade, por indiferença. A. Cada. Segundo. Que. Vc. Respira. (deu pra entender? Ou preciso deixar mais claro ou até desenhar?) animais estão sendo exterminados pelo orgulho e privilégio humano. Exterminados, caçados, torturados, tem seu habitat devastado por queimadas, etc. 1 única vez uma onça reverte o quadro, e chove imbecil falando &quot;vc valoriza mais a vida de uma onça do que um ser humano??? Ohhh seu monstro!!!!!&quot; Eis a hipocrisia do ser humano, é absolutamente sem limites e é nojento.  Onças (e incontáveis animais que venham à sua mente) são torturados com regularidade. Deixe sua hipocrisia de lado."
video0;negativo;positivo;não;não;neutra;;Eu acho que ela também pode ter atacado por causa de território, é um caçador nato.Ela já tava rondando o rancho e até brigou com outra, além da fome foi por instinto coitado do caseiro.
video0;negativo;neutro;sim;não;neutra;;Onça comem qualquer coisa, estando com fome.😮😮😮😮
video0;positivo;neutro;não;não;neutra;;Ó bicho lindo meu Deus 🐆😍🤔🩸
video0;negativo;neutro;sim;não;neutra;;Se atacou humanos a regra é clara : TEM QUE ABATER senão ela voltará a caçar humanos!!! E para de mimimi!!
