onca;caseiro;fake news;comment_text;;;;;
negativo;neutro;sim;Verdade estão valor ao animal doque pro ser humano;;;;;
neutro;negativo;não;Eles andavam era dando comida pra ela tá aí no que Deu.;;;;;
negativo;negativo;não;😲 acho que ela tava com muita fome e achou uma presa fácil que não tinha como se defender, essas pessoas às vezes se expõem muito  sem ter noção de tão perigoso são esses animais selvagens 😢;;;;;
neutro;neutro;não;Culpa da humanidade que é responsável pela destruição do habitat delas.. então bem menos!!;;;;;
neutro;neutro;não;Pq o próprio homem está destruíndo as matas....;;;;;
neutro;neutro;sim;O ser humano não sofre instinção, os animais sim.;;;;;
neutro;neutro;não;Brabo e eficientes para caça!;;;;;
neutro;neutro;não;A palavra tem poder  cuidado  o que sai da boca;;;;;
neutro;neutro;não;Os cães alertaria sim más seria a mesma coisa de colocar os cães a sacrifício a ceva do mesmo jeito que elas eram cevadas por peixes.;;;;;
neutro;positivo;não;Meus sentimentos pra família de Sr. George 😢😢😢!;;;;;
neutro;neutro;não;Culpa da humanidade que é responsável pela destruição do habitat delas.. então bem menos!!;;;;;
neutro;neutro;sim;Triste quando vc dá mais valor ao animal do que a vida humana . Vamos preservar , sim , mais pelo amor de Deus..;;;;;
neutro;negativo;não;Desde de não levar o perigo a sério e a falta de uma arma de fogo e uma espera eficaz tudo junto foi negligência, sentimentos á família.;;;;;
neutro;negativo;não;O seu João duvidou ,brincou demais ,se foi por confiar em perigo;;;;;
neutro;negativo;não;Um viralata não preocupou com o seu Jorge na verdade ninguém preocupava com o homem porque se tivessem mais preocupações teriam evitado esse ataque que já era evidente.;;;;;
neutro;neutro;não;Parabéns pelo vídeo! Excelente, muito informativo.👏🏿👏🏿👏🏿;;;;;
neutro;neutro;não;Excelente trabalho. <br>Parabéns;;;;;
positivo;neutro;não;Animal muito lindo;;;;;
neutro;neutro;não;Deus me livre, descanse em paz, que Deus receba de braços abertos 🙏🙌 vai com Deus;;;;;
neutro;neutro;não;Parabéns ,mostrou tudo detalhado;;;;;
positivo;neutro;não;Animal muito lindo, porém não podemos esquecer que se trata de um animal selvagem......;;;;;
neutro;neutro;não;Eu trabalhei numa usina sertã noite fraguei uma raposa rodando perto d vivência eu lumiava ela corria e voltava aí fiquei olhando aí dei tempo quando lumiei a raposa vi ela comendo algo fui olhar oke era tinha grão de arroz ovo era resto de comida pessoal do turno b tinha jogado<br>não de;;;;;
positivo;neutro;não;A onça foi perdendo o medo, não levaram fé na inteligência do animal. Ela estava estudando a presa. Lamentável, o falecido era experiente, . Nossos sentimentos aqui do RJ/RJ, para ele, luz e paz, a família força e resignação..P.S que bom não sacrificaram o animal;;;;;
positivo;neutro;sim;A onça é vítima 😢pq ali é o território dela e ela estava faminta e deu o aviso😮;;;;;
neutro;neutro;não;Ele não ficou de 👀;;;;;
positivo;neutro;não;Elas são vítimas da sociedade;;;;;
neutro;positivo;não;E porque o caseiro não ficava nesse casarão mais seguro? Já que sabia que a onça estava lhe frequentando....e. outra a casa que ele ficava não tem segurança nenhuma....muita imprudência do dono da pousada;;;;;
positivo;neutro;não;A onça era alimentada com frequência pelos barqueiros da região, que levavam turistas ao local, cobrando por isso. Isso está claro, quando diz que o animal não se intimida com a presença de pessoas. Infelizmente o ribeirinho foi a vítima (já anunciada pelo amigo) de uma atividade considerada ILEGAL e inconsequente. Que a polícia investigue o caso e prendam os barqueiros responsáveis.;;;;;
neutro;neutro;não;É verdade!;;;;;
neutro;neutro;não;Excelente vídeo, parabéns!!;;;;;
neutro;neutro;não;E nós somos do espaço;;;;;
neutro;positivo;não;pois e! zona rural é obrigatorio andar armado, uma fatalidade, uma simples arma teria poupado a vida dele;;;;;
positivo;neutro;não;Deus abençoe toda família.<br><br>A onça está no habitat natural dela, infelizmente nos seres humanos temos que correr atrás do nosso sustento;;;;;
positivo;neutro;não;Lamentável. Minhas condolências à família. Parabéns pelo vídeo. Bem elaborado e sem sensacionalismo. Realmente onças não costumam ter o humano como mais uma alimentação, mas na hora da fome, se não encontra convencional, vai pessoas mesmo. Até racionais praticam canibalismo na hora da fome, imagine uma onça a opta por morrer de fome ou comer uma carne que não é seu prato preferido. Mas é a sua sobrevivência. Deus me livre, quero ver o pantanal só pela TV.;;;;;
positivo;neutro;não;Estão Invadindo o Habitar da Onça Esses Covardes 😡😡😡😡😡😡😡😡😡😡😡😡;;;;;
neutro;neutro;não;Enquanto a onça comia esse coitado, o Lula comia nossa aposentadoria. Faz o L!;;;;;
neutro;neutro;não;Ver o que vc não mostrou nada só falou o mesmo q os outros estão falando aff;;;;;
neutro;neutro;não;E o ser humano é da onde;;;;;
neutro;neutro;não;"O &quot;FATO&quot; só confirma uma coisa. Como o uso de arma de fogo pra defesa pessoal pode ser uma questão tão difícil no Brasil? Dentro da propriedade não era pra ser siquer questionado pela justiça.. arma fogo garanti a defesa que o ESTADO nunca pode oferecer.";;;;;
neutro;neutro;não;O equilíbrio biológico é necessário para vida de todos,animais ferozes não podem se reproduzir sem controle;;;;;
positivo;neutro;não;Não é que os animais sejam mais valorizados. Acontece que a onça-pintada está em risco de extinção e se ela desaparecer afetará todo o equilíbrio ecológico do pantanal e de outras florestas onde vivem.;;;;;
neutro;neutro;não;Não pode ser subtimada jamais;;;;;
neutro;neutro;não;Passando fome?  Duvido! Com o tanto de javalis, porcos do mato, catetos, java porcos, jacarés, capivaras, antas, peixes, etc, etc. Tem bicho a rodo para a onça caçar!;;;;;
neutro;neutro;não;Que reportagem excelente viu;;;;;
positivo;neutro;não;E põe ágeis nisso! Uma ataque ele estando em uma passarela como essa teria que vê-la primeiro estar no minimo com uma boa faca nas mãos sangue nos olhos e mesmo assim perderia alguns dedos, carne em algumas partes e sairia muito ferido! Já na beira do rio sem ter essa pequena proteção da passarela mesmo com a faca seria sem chance devido a velocidade e o pulo que o jogaria longe.;;;;;
positivo;neutro;não;Se fosse comigo essa onça já tava dormindo a muito tempo;;;;;
neutro;neutro;não;Fala que eu vou ficar rico?;;;;;
negativo;neutro;não;Ela o matou no espaço da residência e não no mato então ele não estava invadindo seu espaço. Era para ser morta também  pois matou um ser humano.;;;;;
positivo;neutro;não;Imaginem só matar cada onça  que aparecesse nas redondezas elas seriam extintas nessa região;;;;;
neutro;neutro;não;Conta outra, Bolsonaro. 😂;;;;;
neutro;neutro;não;É verdade! Concordo plenamente com você. Tem que estar preparado pra qualquer coisa e situação.;;;;;
neutro;positivo;não;Três ainda, e ele já estava velhinho não precisava ficar trabalhando em um lugar isolado e sozinho;;;;;
neutro;neutro;sim;O problema tbem, é q se outra onças, provaram da carne huma , e beberam o sangue do Sr George!! Provavelmente, eles agora vão querer, caçar, mas humanos pra comer!!;;;;;
neutro;neutro;não;Ótimo trabalho da ambiental.;;;;;
negativo;neutro;não;Deveria ter era uma espingarda calibre 12;;;;;
neutro;neutro;não;Semana passada cachorros de rua comeram um pé e uma orelha de um bebê vivo, abandonado pela mãe no mato em Andrelandia / MG. <br><br>Todo predador pode predar um ser humano.<br><br>Bichos não são anjinhos nem bebês, como alguns querem crer e ensinar.;;;;;
neutro;neutro;não;Vídeo sem sensacionalismo, muito bom e explicativo;;;;;
positivo;neutro;não;Espero que não façam mal nenhum ao animal,elas não têm culpa,por outro lado ele deveria ter sido mais prudente.Sinto por ele e pela família. Que o animal seja protegido!;;;;;
negativo;neutro;não;A onça estudou os passos do Sr. Jorge...;;;;;
negativo;neutro;não;Vai vc e passa no meio dela ou delas e veja o que acontece. Essa que a onca onça não vê o ser humano como comida é um mito, é lendário.;;;;;
neutro;neutro;não;Deus conforte família tadinho seu Jorge qui dó;;;;;
positivo;neutro;não;Oi? Você tá questionando o atendimento dado a um ser irracional que teve seu lugar invadido pelo ser humano? Áh, pelo amor de deus, cara, kkkkk;;;;;
negativo;neutro;não;Ja teve... A onça comeu!;;;;;
neutro;neutro;não;Meu irmão, me desculpe retrucar sobre seu comentário.<br>Mais esse teu comentário não cabe nesse caso.<br>Esses comentários de quê  o desmatamento é o culpado pôr várias coisas quê acontece, isso é besteira.<br>Se você mora numa capital, creio eu quê aí onde você mora e hoje é uma grande cidade, cheias de indústrias e emprego.<br>Com certeza aí um dia já foi uma grande mata, e tá tudo certo.🤝🏽👍🏽;;;;;
negativo;negativo;não;"@@terepavan2315 Essa falácia de &quot;destruímos a casa deles&quot; tem q pensar melhor, nós também fazemos parte do reino animal e como os demais buscamos por sobrevivência, o caseiro não estava ali por esporte, estava para seu próprio sustento. e a onça logicamente também busca sua sobrevivência. É logico que ela o atacaria ao ter uma oportunidade seja ali ou em qualquer lugar. Infelizmente ele parece nao ter tomado as medidas de segurança necessárias e aconteceu essa fatalidade.";;;;;
neutro;neutro;não;Obrigado 😅 aprendi observando meu gato 🐈😅;;;;;
negativo;neutro;não;Ajuda aí né! Como pedir ajuda se a onça  mata. Tem que fazer barulho e fogo também  elas têm medo.;;;;;
negativo;neutro;sim;Elas estão se produzindo muito;;;;;
neutro;neutro;não;Normal dela e 120 até 130 por aí;;;;;
positivo;neutro;não;lá não é o caso, pois é no pantanal e justamente pela preservação é que esses animais estavam lá, seu habitat natural.;;;;;
positivo;neutro;não;Que animal belíssimo!!! Amo todos os felinos!!;;;;;
neutro;neutro;não;Imagino a dor desse amigo 😢😢<br><br>Na hora nem dá pra agredita😢😢;;;;;
neutro;neutro;não;Muito suspeito as câmeras pegou ela várias vezes e da pra ver os locais de ataque.<br>Porém as câmeras não pegaram o ataque.<br>Gostaria de saber porque as câmeras não pegaram o ataque.;;;;;
positivo;neutro;não;"Seres humanos, do auge da sua &quot;coragem&quot; com rifles de caça, e do seu privilégio humano, exterminam animais a cada segundo que vc respira. Seja por caça, por esporte, por crueldade, por indiferença. A. Cada. Segundo. Que. Vc. Respira. (deu pra entender? Ou preciso deixar mais claro ou até desenhar?) animais estão sendo exterminados pelo orgulho e privilégio humano. Exterminados, caçados, torturados, tem seu habitat devastado por queimadas, etc. 1 única vez uma onça reverte o quadro, e chove imbecil falando &quot;vc valoriza mais a vida de uma onça do que um ser humano??? Ohhh seu monstro!!!!!&quot; Eis a hipocrisia do ser humano, é absolutamente sem limites e é nojento.  Onças (e incontáveis animais que venham à sua mente) são torturados com regularidade. Deixe sua hipocrisia de lado.";;;;;
negativo;positivo;não;Eu acho que ela também pode ter atacado por causa de território, é um caçador nato.Ela já tava rondando o rancho e até brigou com outra, além da fome foi por instinto coitado do caseiro.;;;;;
negativo;neutro;sim;Onça comem qualquer coisa, estando com fome.😮😮😮😮;;;;;
positivo;neutro;não;Ó bicho lindo meu Deus 🐆😍🤔🩸;;;;;
negativo;neutro;sim;Se atacou humanos a regra é clara : TEM QUE ABATER senão ela voltará a caçar humanos!!! E para de mimimi!!;;;;;
neutro;negativo;não;Meu amigo, é isso que acontece quando não se respeita o meio ambiente;;;;;
neutro;neutro;não;Essa escapou restam 2 duas porque foram avistadas 3 onça;;;;;
positivo;negativo;não;E triste mas não podemos  julgar o animal pois ainda somos nós que destruímos a casa deles  se for comparar tem animais seres humanos que ataca muito mais mata a sangue frio pra te roubar um simples celular;;;;;
negativo;neutro;não;Precisamos Levar esta Onça lá no $TF ......;;;;;
neutro;neutro;não;Eu ficariA,porém teria pelo menos 3 cães comigo.Sempre  eu andaria com esses 3 cães.Quem mora no mato sabe da precisão de andar acompanhado com cães.Quem não conhece o ditado:Vc está no mato sem cachorro.;;;;;
positivo;neutro;não;Onça é inocente. Não cometam maldades com ela.😢😢😢;;;;;
neutro;neutro;não;Sinal q não foi feito nada por bolsonarista;;;;;
neutro;neutro;não;Beleza de vidio Boa noite;;;;;
negativo;neutro;sim;Estão preocupados com esse animal maldoso a vida humana está sem valor;;;;;
neutro;neutro;não;Queimam as matas e acaba o alimento delas;;;;;
neutro;neutro;não;Muita ceva também, os casos que tenho escutado sempre tem ceva.<br>Vai acostumando o bicho com a presença humana e ele perde o medo. <br>Mas de fato as notícias correm mais hoje em dia;;;;;
neutro;positivo;não;Moro no Estado do Tocantins, nossa coitado, qual  a cidade que ele foi atacado.;;;;;
neutro;neutro;não;@lucaskandido  É verdade! Concordo plenamente com você. Na zona rural, todo cuidado é pouco.;;;;;
neutro;negativo;não;O que faltou ao seu Jorge foi a devida prevenção ao perigo iminente.;;;;;
neutro;neutro;não;Se jorginho tivesse um 3 oitao. A chance de ter sobrevivido seria alta.;;;;;
